,train_gpu,test_gpu,f1
0,A10,GPU-series-1,0.8534299105240732
1,A10,A800-SXM4-80GB,0.817564870259481
2,A10,A100-SXM4-80GB,0.7859056806002144
3,A10,GPU-series-2,0.680952380952381
4,A10,H800,0.7918441874619598
5,GPU-series-1,A10,0.7809114862886699
6,GPU-series-1,A800-SXM4-80GB,0.8278145695364238
7,GPU-series-1,A100-SXM4-80GB,0.8095680067738101
8,GPU-series-1,GPU-series-2,0.8043568178684682
9,GPU-series-1,H800,0.7997265892002734
10,A800-SXM4-80GB,A10,0.8338299335319734
11,A800-SXM4-80GB,GPU-series-1,0.9158408054113576
12,A800-SXM4-80GB,A100-SXM4-80GB,0.8261199206336404
13,A800-SXM4-80GB,GPU-series-2,0.7425691393124838
14,A800-SXM4-80GB,H800,0.8124519600307456
15,A100-SXM4-80GB,A10,0.7922912205567452
16,A100-SXM4-80GB,GPU-series-1,0.9504656721338498
17,A100-SXM4-80GB,A800-SXM4-80GB,0.85628442663996
18,A100-SXM4-80GB,GPU-series-2,0.7825724989593451
19,A100-SXM4-80GB,H800,0.7998475028593214
20,GPU-series-2,A10,0.7550802139037434
21,GPU-series-2,GPU-series-1,0.9424574922522825
22,GPU-series-2,A800-SXM4-80GB,0.8528528528528528
23,GPU-series-2,A100-SXM4-80GB,0.811589458176461
24,GPU-series-2,H800,0.8144252441773103
25,H800,A10,0.8319701280227596
26,H800,GPU-series-1,0.9174253819966749
27,H800,A800-SXM4-80GB,0.8427184466019417
28,H800,A100-SXM4-80GB,0.8184618377537125
29,H800,GPU-series-2,0.7453097584019436
